state,action,reward,next_state,done
"4.2017329876680725,-1.2720446134996872,1.0,4.332771742149131,1.7483255346727316,2.0,8.108999516025207,-0.8507949795461286,1.0,8.501197074495225,2.242025618644214,2.0","0.0,0.0",-0.00840645714995869,"4.201754093170166,-1.272030234336853,1.0,4.332780838012695,1.7483441829681396,2.0,8.109020233154297,-0.8507591485977173,1.0,8.501204490661621,2.242063045501709,2.0",0
"4.201754093170166,-1.272030234336853,1.0,4.332780838012695,1.7483441829681396,2.0,8.109020233154297,-0.8507591485977173,1.0,8.501204490661621,2.242063045501709,2.0","0.0,0.0",-0.0033292057958197903,"4.201775550842285,-1.2720147371292114,1.0,4.332789897918701,1.7483614683151245,2.0,8.109040260314941,-0.8507264256477356,1.0,8.501211166381836,2.2420976161956787,2.0",0
"4.201775550842285,-1.2720147371292114,1.0,4.332789897918701,1.7483614683151245,2.0,8.109040260314941,-0.8507264256477356,1.0,8.501211166381836,2.2420976161956787,2.0","0.0,0.0",-0.0025392895472840776,"4.201797008514404,-1.2719985246658325,1.0,4.332798957824707,1.7483779191970825,2.0,8.10905933380127,-0.8506940603256226,1.0,8.50121784210205,2.242131233215332,2.0",0
"4.201797008514404,-1.2719985246658325,1.0,4.332798957824707,1.7483779191970825,2.0,8.10905933380127,-0.8506940603256226,1.0,8.50121784210205,2.242131233215332,2.0","0.0,0.0",-0.002147457115510466,"4.201817989349365,-1.271982192993164,1.0,4.3328070640563965,1.7483952045440674,2.0,8.109078407287598,-0.8506617546081543,1.0,8.50122356414795,2.2421655654907227,2.0",0
"4.201817989349365,-1.271982192993164,1.0,4.3328070640563965,1.7483952045440674,2.0,8.109078407287598,-0.8506617546081543,1.0,8.50122356414795,2.2421655654907227,2.0","0.0,0.0",-0.001903890544715077,"4.201838493347168,-1.2719658613204956,1.0,4.332815647125244,1.748412013053894,2.0,8.109097480773926,-0.850629448890686,1.0,8.501230239868164,2.242199420928955,2.0",0
"4.201838493347168,-1.2719658613204956,1.0,4.332815647125244,1.748412013053894,2.0,8.109097480773926,-0.850629448890686,1.0,8.501230239868164,2.242199420928955,2.0","1.0,0.0",0.3058467488476874,"4.182122707366943,-1.2719515562057495,1.0,4.313087463378906,1.7484296560287476,2.0,8.089380264282227,-0.8506003022193909,1.0,8.481500625610352,2.242229700088501,2.0",0
"4.182122707366943,-1.2719515562057495,1.0,4.313087463378906,1.7484296560287476,2.0,8.089380264282227,-0.8506003022193909,1.0,8.481500625610352,2.242229700088501,2.0","1.0,0.0",0.21287041583608435,"4.142275333404541,-1.271949052810669,1.0,4.2732367515563965,1.7484291791915894,2.0,8.049531936645508,-0.8505949378013611,1.0,8.441649436950684,2.2422358989715576,2.0",0
"4.142275333404541,-1.271949052810669,1.0,4.2732367515563965,1.7484291791915894,2.0,8.049531936645508,-0.8505949378013611,1.0,8.441649436950684,2.2422358989715576,2.0","1.0,0.0",0.20856043603528363,"4.082348823547363,-1.27195405960083,1.0,4.21331262588501,1.7484239339828491,2.0,7.98960542678833,-0.8506021499633789,1.0,8.381726264953613,2.2422285079956055,2.0",0
"4.082348823547363,-1.27195405960083,1.0,4.21331262588501,1.7484239339828491,2.0,7.98960542678833,-0.8506021499633789,1.0,8.381726264953613,2.2422285079956055,2.0","1.0,0.0",0.20711458702206753,"4.002380847930908,-1.2719683647155762,1.0,4.133353233337402,1.748409390449524,2.0,7.90963888168335,-0.8506274223327637,1.0,8.30176830291748,2.2422022819519043,2.0",0
"4.002380847930908,-1.2719683647155762,1.0,4.133353233337402,1.748409390449524,2.0,7.90963888168335,-0.8506274223327637,1.0,8.30176830291748,2.2422022819519043,2.0","1.0,0.0",0.2063478287023316,"3.902435302734375,-1.2719905376434326,1.0,4.033422470092773,1.7483863830566406,2.0,7.809695720672607,-0.85066819190979,1.0,8.201839447021484,2.242159605026245,2.0",0
"3.902435302734375,-1.2719905376434326,1.0,4.033422470092773,1.7483863830566406,2.0,7.809695720672607,-0.85066819190979,1.0,8.201839447021484,2.242159605026245,2.0","1.0,0.0",0.20579423050201462,"3.782644748687744,-1.2719520330429077,1.0,3.9136013984680176,1.7484259605407715,2.0,7.6899003982543945,-0.8505903482437134,1.0,8.082013130187988,2.2422409057617188,2.0",0
"3.782644748687744,-1.2719520330429077,1.0,3.9136013984680176,1.7484259605407715,2.0,7.6899003982543945,-0.8505903482437134,1.0,8.082013130187988,2.2422409057617188,2.0","1.0,0.0",0.20518243247300494,"3.6431148052215576,-1.2720293998718262,1.0,3.7741353511810303,1.748346209526062,2.0,7.550379753112793,-0.850750744342804,1.0,7.9425578117370605,2.242072582244873,2.0",0
"3.6431148052215576,-1.2720293998718262,1.0,3.7741353511810303,1.748346209526062,2.0,7.550379753112793,-0.850750744342804,1.0,7.9425578117370605,2.242072582244873,2.0","1.0,0.0",0.2045163864258186,"3.483961820602417,-1.2720887660980225,1.0,3.6150479316711426,1.7482779026031494,2.0,7.391231060028076,-0.8508832454681396,1.0,7.783475875854492,2.2419261932373047,2.0",0
"3.483961820602417,-1.2720887660980225,1.0,3.6150479316711426,1.7482779026031494,2.0,7.391231060028076,-0.8508832454681396,1.0,7.783475875854492,2.2419261932373047,2.0","1.0,0.0",0.2038966652165466,"3.3058903217315674,-1.2718392610549927,1.0,3.4367878437042236,1.7485263347625732,2.0,7.213137149810791,-0.8503966927528381,1.0,7.605189323425293,2.2424278259277344,2.0",0
"3.3058903217315674,-1.2718392610549927,1.0,3.4367878437042236,1.7485263347625732,2.0,7.213137149810791,-0.8503966927528381,1.0,7.605189323425293,2.2424278259277344,2.0","1.0,0.0",0.2035463433350313,"3.108837842941284,-1.271018385887146,1.0,3.2390241622924805,1.749391794204712,2.0,7.015969276428223,-0.848651111125946,1.0,7.40729284286499,2.2442798614501953,2.0",0
"3.108837842941284,-1.271018385887146,1.0,3.2390241622924805,1.749391794204712,2.0,7.015969276428223,-0.848651111125946,1.0,7.40729284286499,2.2442798614501953,2.0","1.0,0.0",0.18891359666286833,"2.9074273109436035,-1.2711399793624878,1.0,3.0377581119537354,1.7492640018463135,2.0,6.814595699310303,-0.8489704728126526,1.0,7.20606803894043,2.243941307067871,2.0",0
"2.9074273109436035,-1.2711399793624878,1.0,3.0377581119537354,1.7492640018463135,2.0,6.814595699310303,-0.8489704728126526,1.0,7.20606803894043,2.243941307067871,2.0","1.0,0.0",0.17485507405654266,"2.7061033248901367,-1.271496295928955,1.0,2.8368191719055176,1.7488914728164673,2.0,6.613325119018555,-0.8498236536979675,1.0,7.005191802978516,2.2430388927459717,2.0",0
"2.7061033248901367,-1.271496295928955,1.0,2.8368191719055176,1.7488914728164673,2.0,6.613325119018555,-0.8498236536979675,1.0,7.005191802978516,2.2430388927459717,2.0","1.0,0.0",0.16332935578338947,"2.504668712615967,-1.2715986967086792,1.0,2.6356778144836426,1.748754620552063,2.0,6.411923408508301,-0.8502785563468933,1.0,6.8040900230407715,2.242525577545166,2.0",0
"2.504668712615967,-1.2715986967086792,1.0,2.6356778144836426,1.748754620552063,2.0,6.411923408508301,-0.8502785563468933,1.0,6.8040900230407715,2.242525577545166,2.0","1.0,0.0",0.1542834693377788,"2.303908109664917,-1.2703101634979248,1.0,2.4333841800689697,1.750131368637085,2.0,6.210956573486328,-0.8470349907875061,1.0,6.601553916931152,2.245988130569458,2.0",0
